"stop_id","fermata","descrizione","lat","lon"
53,5050,"Zattere DX",45.429153,12.3268
54,5051,"S. Maria del Giglio",45.431431,12.332637
55,5052,"Salute",45.431171,12.334374
56,5053,"S. Marco (Vallaresso) SX",45.432125,12.337271
57,5054,"S. Marco (Vallaresso) DX",45.432186,12.337525
58,5056,"S. Marco (Giardinetti) DX",45.432487,12.338417
59,5058,"Madonna dell'Orto",45.447674,12.332901
60,5059,"S. Alvise",45.448704,12.329509
61,5060,"F.te Nove ""C""",45.443146,12.340932
62,5061,"F.te Nove ""B""",45.443138,12.340671
63,5062,"Cimitero S. Michele",45.448673,12.345977
64,5063,"Murano Colonna ""A""",45.451107,12.349192
65,5064,"Murano Navagero",45.454693,12.35658
66,5065,"Murano Museo DX",45.456104,12.355435
67,5066,"Murano Venier",45.457447,12.351191
68,5067,"Murano Serenella",45.454853,12.347479
69,5068,"Burano DX per Treporti",45.487602,12.416217
70,5069,"Treporti",45.471558,12.447123
71,5070,"Punta Sabbioni SX",45.447639,12.424682
72,5071,"Ferrovia (Bar Roma)",45.441292,12.322843
73,5072,"Chioggia P.tta Vigo",45.22369,12.280678
74,5073,"Pellestrina Cimitero M/N",45.262791,12.299958
75,5075,"Tronchetto (Mercato)",45.441383,12.309408
76,5076,"S. Zaccaria (M.V.E.) ""B""",45.433514,12.344095
77,5078,"S. Servolo",45.419617,12.35535
78,5079,"S. Lazzaro",45.412113,12.359925
79,5081,"Zitelle SX",45.42672,12.337905
80,5082,"Redentore",45.425579,12.332047
81,5083,"S. Basilio",45.430534,12.320824
82,5084,"Guglie dx",45.444294,12.32445
83,5085,"Tre Archi",45.446369,12.319737
84,5086,"F.te Nove ""A""",45.443958,12.339143
85,5087,"F.te Nove ""D""",45.442867,12.341126
86,5088,"Ferrovia ""C""",45.440372,12.321408
87,5089,"Ferrovia ""D""",45.440216,12.321242
88,5090,"Vignole",45.443707,12.376256
89,5091,"S. Erasmo Capannone",45.454636,12.388567
90,5092,"S. Erasmo Chiesa",45.459461,12.410089
91,5093,"S. Erasmo Punta Vela",45.46838,12.42021
92,5094,"Lido (S.M.E.) ""A""",45.418144,12.368973
93,5095,"Murano Faro M/S SX",45.452557,12.354241
94,5096,"Murano Faro M/N",45.452663,12.354642
95,5097,"Torcello",45.49509,12.412183
96,5098,"Lido S. Nicolo' M/N",45.424339,12.377113
97,5099,"Lido S. Nicolo' N\T",45.425873,12.378331
98,5101,"Mazzorbo",45.488094,12.409512
99,5102,"S. Maria del Mare N/T",45.332737,12.316975
100,5103,"Alberoni Faro Rocchetta N",45.341526,12.308979
101,5104,"P.le Roma (S.Andrea) ""B""",45.4389,12.316018
102,5108,"Punta Sabbioni DX",45.447433,12.424286
103,5109,"P.ta Sabbioni N/T",45.446976,12.424375
104,5111,"S.Erasmo F.te Massimilian",45.445339,12.391397
105,5113,"Burano SX per F.te Nove",45.487572,12.416754
106,5114,"Murano Colonna ""B""",45.451111,12.348869
107,5115,"Bacini - Arsenale Nord",45.439205,12.357293
108,5116,"S. Pietro di Castello",45.433834,12.361842
109,5117,"Murano Da Mula",45.456116,12.351936
110,5118,"Zitelle DX",45.426624,12.337678
111,5119,"Murano Museo SX",45.456139,12.355189
112,5120,"Murano Colonna ""C""",45.451134,12.348564
113,5124,"Giardini DX",45.42976,12.354997
114,5126,"Deposito Arsenale",45.433453,12.347198
115,5128,"Giardini Biennale DX",45.428886,12.356096
116,5129,"Giudecca Palanca DX",45.426899,12.325401
117,5132,"S. Marcuola-Casino' SX",45.442513,12.328278
118,5133,"Arsenale SX",45.432896,12.34833
119,5135,"Crea",45.445278,12.321106
120,5136,"Riva de Biasio DX",45.44183,12.325079
